Grade,Tensile Strength (MPa),Yield Strength (MPa),Elongation in 50 mm (%),Reduction in Area (%),HV (GPa),"Carbon, C","Chromium, Cr","Iron, Fe","Manganese, Mn","Nickel, Ni","Nitrogen, N","Phosphorus, P","Silicon, Si","Sulfur, S","Molybdenum, Mo","Boron, B","Titanium, Ti",Nb,Ta,"Lead, Pb","Vanadium, V"
4320,792.9,464,20.8,50.7,22.748,0.195,0.5,96.4175,0.55,1.825,,0.035,0.225,0.04,0.25,,,,,,
4320,579.2,609.5,29,58.4,15.7784,0.195,0.5,96.4175,0.55,1.825,,0.035,0.225,0.04,0.25,,,,,,
4340,1279,861.8,12.2,36.3,35.1384,0.4,0.8,95.7625,0.7,1.825,,0.035,0.225,0.04,0.25,,,,,,
4340,744.6,472.3,22,49.9,21.0056,0.4,0.8,95.7625,0.7,1.825,,0.035,0.225,0.04,0.25,,,,,,
4620,574.3,366.1,29,66.7,16.8432,0.195,,96.8925,0.55,1.825,,0.035,0.25,0.04,0.25,,,,,,
4620,512.3,372.3,31.3,60.3,14.4232,0.195,,96.8925,0.55,1.825,,0.035,0.25,0.04,0.25,,,,,,
4820,75,484.7,24,59.2,22.1672,0.205,,95.1825,0.6,3.5,,0.035,0.225,0.04,0.25,,,,,,
4820,681.2,464,22.3,58.8,19.0696,0.205,,95.1825,0.6,3.5,,0.035,0.225,0.04,0.25,,,,,,
5140,792.9,472.3,22.7,59.2,22.1672,0.405,0.8,97.7325,0.8,,,0.035,0.225,0.04,,,,,,,
5140,572.3,293,28.6,57.3,16.1656,0.405,0.8,97.7325,0.8,,,0.035,0.225,0.04,,,,,,,
5150,870.8,529.5,20.7,58.7,24.684,0.505,0.8,97.6325,0.8,,,0.035,0.225,0.04,,,,,,,
5150,675.7,357.1,22,43.7,19.0696,0.505,0.8,97.6325,0.8,,,0.035,0.225,0.04,,,,,,,
5160,957,530.9,17.5,44.8,26.0392,0.6,0.8,97.4625,0.875,,,0.035,0.225,0.04,,,,,,,
5160,722.6,275.8,17.2,30.6,19.0696,0.6,0.8,97.4625,0.875,,,0.035,0.225,0.04,,,,,,,
6150,939.8,615.7,21.8,61,26.0392,0.505,0.95,97.4075,0.8,,,0.035,0.225,0.04,,,,,,,0.15
6150,667.4,412.3,23,48.4,19.0696,0.505,0.95,97.4075,0.8,,,0.035,0.225,0.04,,,,,,,0.15
8620,632.9,357.1,26.3,59.7,17.7144,0.205,0.5,97.4575,0.8,0.55,,0.035,0.25,0.04,0.2,,,,,,
1137,627.4,379.2,28,61,18.5856,0.355,,98.02,1.5,,,0.04,,0.105,,,,,,,
1137,668.8,396.4,22.5,48.5,19.0696,0.355,,98.02,1.5,,,0.04,,0.105,,,,,,,
1137,584.7,344.7,26.8,53.9,16.8432,0.355,,98.02,1.5,,,0.04,,0.105,,,,,,,
1141,675.7,358.5,22,38,18.5856,0.41,,97.965,1.5,,,0.04,,0.105,,,,,,,
1141,706.7,405.4,22.7,55.5,19.4568,0.41,,97.965,1.5,,,0.04,,0.105,,,,,,,
1141,598.5,353,25.5,49.3,15.7784,0.41,,97.965,1.5,,,0.04,,0.105,,,,,,,
1144,703.3,420.6,21,41,20.5216,0.44,,97.755,1.5,,,0.04,,0.285,,,,,,,
1144,667.4,399.9,21,40.4,19.0696,0.44,,97.755,1.5,,,0.04,,0.285,,,,,,,
1144,584.7,346.8,24.8,41.3,16.1656,0.44,,97.755,1.5,,,0.04,,0.285,,,,,,,
1340,836.3,558.5,22,62.9,24.0064,0.155,,99.35,0.45,,,0.04,,0.05,,,,,,,
1340,703.3,436.4,25.5,57.3,20.0376,0.155,,99.35,0.45,,,0.04,,0.05,,,,,,,
4130,668.8,436.4,25.5,59.5,19.0696,0.305,0.95,97.625,0.5,,,0.035,0.225,0.04,0.2,,,,,,
4130,560.5,360.6,28.2,55.6,15.1008,0.305,0.95,97.625,0.5,,,0.035,0.225,0.04,0.2,,,,,,
1050,723.9,413.7,20,40,22.1672,0.51,,98.69,0.75,,,0.04,,0.05,,,,,,,
1050,748.1,427.5,20,39.4,21.0056,0.51,,98.69,0.75,,,0.04,,0.05,,,,,,,
1050,636,365.4,23.7,39.9,18.1016,0.51,,98.69,0.75,,,0.04,,0.05,,,,,,,
1060,813.6,482.6,17,34,23.3288,0.605,,98.6,0.75,,,0.04,,0.05,,,,,,,
1060,775.7,420.6,18,37.2,22.1672,0.605,,98.6,0.75,,,0.04,,0.05,,,,,,,
1060,625.7,372.3,22.5,38.2,17.3272,0.605,,98.6,0.75,,,0.04,,0.05,,,,,,,
1080,965.3,586.1,12,17,28.3624,0.815,,98.39,0.75,,,0.04,,0.05,,,,,,,
1080,1010.1,524,11,20.6,28.3624,0.815,,98.39,0.75,,,0.04,,0.05,,,,,,,
1080,615.4,375.8,24.7,45,16.8432,0.815,,98.39,0.75,,,0.04,,0.05,,,,,,,
1095,965.3,572.3,9,18,28.3624,0.965,,98.59,0.4,,,0.04,,0.05,,,,,,,
1095,1013.5,499.9,9.5,13.5,28.3624,0.965,,98.59,0.4,,,0.04,,0.05,,,,,,,
1095,656.7,379.2,13,20.6,18.5856,0.965,,98.59,0.4,,,0.04,,0.05,,,,,,,
1117,486.8,305.4,33,63,13.8424,0.17,,98.555,1.15,,,0.04,,0.105,,,,,,,
