Grade,Tensile Strength (MPa),Yield Strength (MPa),Elongation in 50 mm (%),Reduction in Area (%),HV (GPa),"Carbon, C","Chromium, Cr","Iron, Fe","Manganese, Mn","Nickel, Ni","Nitrogen, N","Phosphorus, P","Silicon, Si","Sulfur, S","Molybdenum, Mo","Boron, B","Titanium, Ti",Nb,Ta,"Lead, Pb","Vanadium, V"
5160,724.0,275.0,17.2,30.6,19.07747197,0.6,0.8,97.4625,0.875,,,0.035,0.225,0.04,,,,,,,
5160,1145.0,1005.0,14.5,45.7,33.0224261,0.6,0.8,97.4625,0.875,,,0.035,0.225,0.04,,,,,,,
6150,938.0,615.0,21.8,61.0,26.04994903,0.505,0.95,97.4075,0.8,,,0.035,0.225,0.04,,,,,,,0.15
6150,670.0,415.0,23.0,48.4,19.07747197,0.505,0.95,97.4075,0.8,,,0.035,0.225,0.04,,,,,,,0.15
6150,1200.0,1160.0,14.5,48.2,34.08766565,0.505,0.95,97.4075,0.8,,,0.035,0.225,0.04,,,,,,,0.15
1340,834.0,558.0,22.0,63.0,24.01630989,0.155,,99.35,0.45,,,0.04,,0.05,,,,,,,
1340,703.0,434.0,25.5,57.0,20.04587156,0.155,,99.35,0.45,,,0.04,,0.05,,,,,,,
4130,670.0,435.0,25.5,59.5,19.07747197,0.305,0.95,97.625,0.5,,,0.035,0.225,0.04,0.2,,,,,,
4130,560.0,460.0,21.5,59.6,21.01427115,0.305,0.95,97.625,0.5,,,0.035,0.225,0.04,0.2,,,,,,
4130,1040.0,979.0,18.1,63.9,29.24566769,0.305,0.95,97.625,0.5,,,0.035,0.225,0.04,0.2,,,,,,
4140,1020.0,655.0,17.7,46.8,29.24566769,0.405,0.95,97.2775,0.875,,,0.035,0.225,0.04,0.2,,,,,,
4140,655.0,915.0,25.7,56.9,19.07747197,0.405,0.95,97.2775,0.875,,,0.035,0.225,0.04,0.2,,,,,,
4140,1075.0,986.0,15.5,56.9,30.11722732,0.405,0.95,97.2775,0.875,,,0.035,0.225,0.04,0.2,,,,,,
4150,1160.0,731.0,11.7,30.8,31.08562691,0.505,0.95,97.2075,0.875,,,0.035,0.225,0.04,0.2,,,,,,
4150,731.0,380.0,20.2,40.2,19.07747197,0.505,0.95,97.2075,0.875,,,0.035,0.225,0.04,0.2,,,,,,
4150,1310.0,1215.0,13.5,47.2,36.31498471,0.505,0.95,97.2075,0.875,,,0.035,0.225,0.04,0.2,,,,,,
4320,793.0,460.0,20.8,51.0,22.75739042,0.195,0.5,96.4175,0.55,1.825,,0.035,0.225,0.04,0.25,,,,,,
4320,580.0,425.0,29.0,58.0,15.78491335,0.195,0.5,96.4175,0.55,1.825,,0.035,0.225,0.04,0.25,,,,,,
4340,1282.0,862.0,12.2,36.3,35.1529052,0.4,0.8,95.7625,0.7,1.825,,0.035,0.225,0.04,0.25,,,,,,
4340,745.0,470.0,22.0,50.0,21.01427115,0.4,0.8,95.7625,0.7,1.825,,0.035,0.225,0.04,0.25,,,,,,
414,795.0,620.0,20.0,60.0,22.75739042,0.15,12.5,83.0,1.0,1.88,,0.04,1.0,0.03,,,,,,,
414,895.0,795.0,15.0,58.0,26.14678899,0.15,12.5,83.0,1.0,1.88,,0.04,1.0,0.03,,,,,,,
420,655.0,345.0,25.0,55.0,18.88379205,0.195,0.5,96.4175,0.55,1.825,,0.035,0.225,0.04,0.25,,,,,,
420,760.0,690.0,14.0,40.0,22.0795107,0.195,0.5,96.4175,0.55,1.825,,0.035,0.225,0.04,0.25,,,,,,
431,860.0,655.0,20.0,55.0,25.1783894,0.2,16.0,82.0,1.0,1.875,,0.04,1.0,0.03,,,,,,,
431,895.0,760.0,15.0,35.0,26.14678899,0.2,16.0,82.0,1.0,1.875,,0.04,1.0,0.03,,,,,,,
440C,860.0,690.0,7.0,20.0,25.1783894,1.1,17.0,79.15,1.0,,,,1.0,,0.75,,,,,,
440C,1970.0,1900.0,2.0,10.0,56.16717635,1.1,17.0,79.15,1.0,,,,1.0,,0.75,,,,,,
4140,1020.4,655.0,17.7,46.8,29.2336,0.405,0.95,97.2775,0.875,,,0.035,0.225,0.04,0.2,,,,,,
4140,655.0,417.1,25.7,56.9,19.0696,0.405,0.95,97.2775,0.875,,,0.035,0.225,0.04,0.2,,,,,,
4150,1154.9,734.3,11.7,30.8,31.0728,0.505,0.95,97.2075,0.875,,,0.035,0.225,0.04,0.2,,,,,,
4150,729.5,379.2,20.2,40.2,19.0696,0.505,0.95,97.2075,0.875,,,0.035,0.225,0.04,0.2,,,,,,
4320,792.9,464.0,20.8,50.7,22.748,0.195,0.5,96.4175,0.55,1.825,,0.035,0.225,0.04,0.25,,,,,,
4320,579.2,609.5,29.0,58.4,15.7784,0.195,0.5,96.4175,0.55,1.825,,0.035,0.225,0.04,0.25,,,,,,
4340,1279.0,861.8,12.2,36.3,35.1384,0.4,0.8,95.7625,0.7,1.825,,0.035,0.225,0.04,0.25,,,,,,
4340,744.6,472.3,22.0,49.9,21.0056,0.4,0.8,95.7625,0.7,1.825,,0.035,0.225,0.04,0.25,,,,,,
4620,574.3,366.1,29.0,66.7,16.8432,0.195,,96.8925,0.55,1.825,,0.035,0.25,0.04,0.25,,,,,,
4620,512.3,372.3,31.3,60.3,14.4232,0.195,,96.8925,0.55,1.825,,0.035,0.25,0.04,0.25,,,,,,
4820,75.0,484.7,24.0,59.2,22.1672,0.205,,95.1825,0.6,3.5,,0.035,0.225,0.04,0.25,,,,,,
4820,681.2,464.0,22.3,58.8,19.0696,0.205,,95.1825,0.6,3.5,,0.035,0.225,0.04,0.25,,,,,,
5140,792.9,472.3,22.7,59.2,22.1672,0.405,0.8,97.7325,0.8,,,0.035,0.225,0.04,,,,,,,
5140,572.3,293.0,28.6,57.3,16.1656,0.405,0.8,97.7325,0.8,,,0.035,0.225,0.04,,,,,,,
5150,870.8,529.5,20.7,58.7,24.684,0.505,0.8,97.6325,0.8,,,0.035,0.225,0.04,,,,,,,
5150,675.7,357.1,22.0,43.7,19.0696,0.505,0.8,97.6325,0.8,,,0.035,0.225,0.04,,,,,,,
5160,957.0,530.9,17.5,44.8,26.0392,0.6,0.8,97.4625,0.875,,,0.035,0.225,0.04,,,,,,,
