Grade,Density,"Hardness, Rockwell B","Hardness, Rockwell C",,"Tensile Strength, Ultimate","Tensile Strength, Yield",Elongation at Break,Modulus of Elasticity,Izod Impact,Electrical Resistivity,Magnetic Permeability,"CTE, linear",Specific Heat Capacity ,Thermal Conductivity,Melting Point,Solidus,Liquidus,"Carbon, C","Chromium, Cr","Iron, Fe","Manganese, Mn","Nickel, Ni","Nitrogen, N","Phosphorus, P","Silicon, Si","Sulfur, S","Tensile Strength, Yield",Tensile Strength,Reduction of Area,Thermal Conductivity,Charpy Impact,"Aluminum, Al","Copper, Cu","Molybdenum, Mo","Vanadium, V","Hardness, Brinell","Hardness, Knoop","Hardness, Vickers",Bulk Modulus ,Poissons Ratio,Machinability,Shear Modulus,  ,Impact Test,Electrical Resistivity,Tensile Modulus,Fatigue Strength,"Selenium, Se","Boron, B",Charpy Impact,"Maximum Service Temperature, Air",Rupture Strength,Creep Strength,"Niobium, Nb (Columbium, Cb)","CTE, linear",Transformation Temperature,Izod Impact  ,"Titanium, Ti",Curie Temperature,Volume Resistivity,Heat of Fusion,Nb + Ta,"Tensile Strength, Ultimate",Elongation at Break,"Cobalt, Co","Tantalum, Ta",Specific Heat Capacity,Particle Size,"Hardness, Rockwell A",Elongation at Yield,Notched Tensile Strength,Izod Impact Unnotched,Annealing Temperature ,Hot-Working Temperature,"Potassium, K","Tungsten, W",Fatigue Strength,Corrosion Rate mils per year,"Crevice Corrosion-Average Weight Loss, g/cm2 ",Reduction of Area ,"Hardness, Brinell ","Hardness, Knoop ","Hardness, Rockwell C  ","Hardness, Vickers",Deep-Drawing Capability rm,Strain Hardening Exponent n,Creep Strength,"Zirconium, Zr"
370,7.85,112,49,0.561,1595,,12.5,205,15,,,12.2,,,,,,0.38,0.8,96.785,0.75,,,0.035,0.15,0.04,1460,,48,42.6,,,,0.15,,461,494,489,160,0.29,65,80,,,0,,,,,,,,,,,,,,,,,,,,,,0.473,,,,,,,,,,,,,,,,,,,,,
380,7.85,,,,1412,,,206,,0,,,0.473,,,,,0.4,0.8,96.725,0.75,,,0.035,0.15,0.04,966,,48,42.6,,,,0.15,,380,,,163,0.29,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,8,70,,21.5,515,,55,193,,0.0001,1.02,17.3,0.5,16.3,1400,1400,1455,0.08,16,63,2,18,,0.045,1,0.03,240,,,,,,,,,123,138,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,7.85,,,14,1343,,,206,,,,11.5,0.486,,,,,0.42,,98.51,0.6,,,0.04,,0.05,842,,59,49.8,,,,,,390,,,163,0.29,,80,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,6.13,42,10,,280,,1,199,16.3,0,400,,0.427,,1370,1370,1480,0.009,10,47.1,0.035,0.23,0.012,0.01,0.05,0.001,165,,0.5,15,,0.01,0.5,0.027,0.15,131,146,140,166,0.2,,62.1,,,,,85,0.15,,7,620,,,0.15,9.2,,,0.005,,,,0.1,,,,0.5,,6.7,51.1,2,793,54.2,593,750,0.06,0.75,,,,,,,,,,,,
403,7.8,80,,24.9,485,,25,200,102,0.0001,,9.9,0.46,21.5,1480,1480,1530,0.15,12.3,86,1,,,0.04,0.5,0.03,310,,,,,,,,,139,155,153,,0.3,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,,,,,,,
405,7.8,75,,815,448,,25,,41,0.0001,,10.8,0.46,,1480,1480,1530,0.08,13,85,1,,,0.04,1,0.03,276,,,27,,0.2,,,,131,146,140,,,,,,,,200,,,,,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,7.34,89,,0.327,554,,28,,,,,11.3,,,,,,0.025,13,82.76,0.035,,,,0.3,,412,,,,,4,,,,,,,,,,,,,0.0001,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,0.04,0.0336,,,,,,,,,
407,8.027,,,16.7,,,30,196,,0.0001,1.0092,14.2,0.5,,1357,1357,1385,0.03,20.5,46,1,31,,0.02,0.4,0.01,170,450,,11.6,,0.3,0.2,,,,,,,0.34,,73,,,,,,,,,,,,,,,,0.3,-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,8.027,,,16.7,,,25,196,,0.0001,1.0092,14.2,0.5,,1357,1357,1385,0.03,20.5,46,1,31,,0.02,0.4,0.01,240,550,,11.6,,0.3,0.2,,,,,,,0.34,,73,,,,,,,,,,,,,,,,0.3,-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,8.027,,,16.7,,,25,196,,0.0001,1.0092,14.2,0.5,,1357,1357,1385,0.03,20.5,46,1,31,,0.02,0.4,0.01,240,550,,11.6,,0.3,0.2,,,,,,,0.34,,73,,,,,,,,,,,,,,,,0.3,-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,7.8,,45,815,1525,,14.5,200,,,700,9.9,0.46,24.9,1480,1480,1530,0.15,11.5,84.3,1,,,0.04,1,0.03,1225,,45,,,,,,,422,464,446,,,,,,,0.0001,,,,,,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
